epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.39833,0.49845,0.58203,0.80069,0.00099932
2,0.67853,0.75541,0.38256,0.84229,0.00099729
3,0.54423,0.79735,0.4043,0.85962,0.00099391
4,0.44334,0.83929,0.35983,0.81629,0.00098918
5,0.35564,0.86446,0.35216,0.87868,0.00098313
6,0.36097,0.87726,0.30029,0.85962,0.00097577
7,0.3544,0.88609,0.30294,0.88215,0.00096712
8,0.2901,0.90375,0.36004,0.85615,0.00095721
9,0.28376,0.91611,0.51766,0.83189,0.00094605
10,0.24139,0.9298,0.16805,0.93934,0.00093368
11,0.21306,0.93775,0.21263,0.92374,0.00092014
12,0.19809,0.94481,0.23394,0.92028,0.00090546
13,0.17432,0.95453,0.13925,0.95494,0.00088969
14,0.16028,0.95408,0.46004,0.84749,0.00087286
15,0.16424,0.95276,0.17542,0.94454,0.00085502
16,0.18846,0.94393,0.14986,0.94281,0.00083622
17,0.15972,0.9585,0.21717,0.92374,0.00081651
18,0.10166,0.97263,0.12126,0.96014,0.00079595
19,0.11074,0.97086,0.11943,0.96187,0.0007746
20,0.10865,0.96998,0.09191,0.97574,0.0007525
21,0.08078,0.97969,0.14991,0.96014,0.00072973
22,0.08074,0.98013,0.12649,0.96014,0.00070633
23,0.0563,0.98675,0.15084,0.9636,0.00068239
24,0.08244,0.98013,0.15868,0.9636,0.00065796
25,0.09597,0.97528,0.24229,0.93588,0.00063312
26,0.1021,0.97572,0.18885,0.94107,0.00060792
27,0.06142,0.98675,0.08296,0.96707,0.00058244
28,0.09433,0.97307,0.14934,0.96014,0.00055674
29,0.05887,0.98499,0.07191,0.98094,0.00053091
30,0.07156,0.98411,0.13699,0.95667,0.000505
31,0.03849,0.98985,0.08729,0.97574,0.00047909
32,0.05299,0.98499,0.07731,0.98094,0.00045326
33,0.04344,0.98896,0.04763,0.98614,0.00042756
34,0.05545,0.98411,0.05816,0.98614,0.00040208
35,0.04122,0.98764,0.08629,0.97747,0.00037688
36,0.02788,0.99294,0.06769,0.98614,0.00035204
37,0.02085,0.99603,0.06016,0.98614,0.00032761
38,0.01817,0.99735,0.0691,0.98787,0.00030367
39,0.01611,0.99647,0.05836,0.98614,0.00028027
40,0.01791,0.99647,0.06711,0.98614,0.0002575
41,0.01528,0.99691,0.07162,0.98614,0.0002354
42,0.01069,1.0,0.06589,0.9844,0.00021405
43,0.01812,0.99558,0.07618,0.98267,0.00019349
44,0.01838,0.99691,0.06732,0.98787,0.00017378
45,0.01356,0.99603,0.08831,0.98094,0.00015498
46,0.01377,0.99735,0.0722,0.98614,0.00013714
47,0.02668,0.99426,0.08179,0.9844,0.00012031
48,0.01058,0.99779,0.07541,0.98267,0.00010454
49,0.01662,0.99735,0.07225,0.98267,8.986e-05
50,0.01164,0.99735,0.07014,0.9844,7.632e-05
51,0.00922,0.99868,0.07066,0.9844,6.395e-05
52,0.01146,0.99647,0.06356,0.98787,5.279e-05
53,0.00946,0.99691,0.06536,0.98787,4.288e-05
